Date,Pushes,Days Since Most Recent Push
2023-05-30,850,0
2023-05-29,169,1
2023-05-28,11,2
2023-05-27,9,3
2023-05-26,495,4
2023-05-25,418,5
2023-05-24,348,6
2023-05-23,263,7
2023-05-22,229,8
2023-05-21,3,9
2023-05-20,7,10
2023-05-19,172,11
2023-05-18,179,12
2023-05-17,125,13
2023-05-16,132,14
2023-05-15,93,15
2023-05-14,3,16
2023-05-13,2,17
2023-05-12,93,18
2023-05-11,101,19
2023-05-10,71,20
2023-05-09,73,21
2023-05-08,66,22
2023-05-07,2,23
2023-05-06,1,24
2023-05-05,70,25
2023-05-04,93,26
2023-05-03,50,27
2023-05-02,45,28
2023-05-01,32,29
2023-04-30,0,30
2023-04-29,1,31
2023-04-28,50,32
2023-04-27,53,33
2023-04-26,37,34
2023-04-25,39,35
2023-04-24,35,36
2023-04-23,1,37
2023-04-22,2,38
2023-04-21,37,39
2023-04-20,29,40
2023-04-19,34,41
2023-04-18,21,42
2023-04-17,42,43
2023-04-16,1,44
2023-04-15,1,45
2023-04-14,17,46
2023-04-13,28,47
2023-04-12,30,48
2023-04-11,27,49
2023-04-10,22,50
2023-04-09,0,51
2023-04-08,0,52
2023-04-07,19,53
2023-04-06,20,54
2023-04-05,26,55
2023-04-04,12,56
2023-04-03,11,57
2023-04-02,0,58
2023-04-01,0,59
2023-03-31,13,60
2023-03-30,24,61
2023-03-29,11,62
2023-03-28,14,63
2023-03-27,22,64
2023-03-26,4,65
2023-03-25,1,66
2023-03-24,14,67
2023-03-23,19,68
2023-03-22,9,69
2023-03-21,11,70
2023-03-20,6,71
2023-03-19,0,72
2023-03-18,0,73
2023-03-17,8,74
2023-03-16,14,75
2023-03-15,6,76
2023-03-14,9,77
2023-03-13,9,78
2023-03-12,0,80
2023-03-12,0,79
2023-03-11,3,81
2023-03-10,17,82
2023-03-09,10,83
2023-03-08,15,84
2023-03-07,11,85
2023-03-06,4,86
2023-03-05,0,87
2023-03-04,0,88
2023-03-03,9,89
2023-03-02,6,90
